hochdeutsch,bischemerisch
Buchbeeren,Byxltr
Buchecker,Buchenüssli
Buchfink,Bufink
Buchstabe,Buschdowe
Buckel,Bug
Buckel,Buggel
Buckel,g
Buckel,l
bucklig,bucklich
Buckliglachen,Bucklitlache
Bude,Budde
bunt,bunt
bunt,schegit
Burg,Burch
Burg,Burg
Burgspiel,Burchlesspiele
Bursche,Borsch
Bursche,Börschle
Burschen,Borsch
Burschen,Borsche
Busch,Busch
Busch,Buusch
Buschwerk,Buschwärg
Butte,Butt
Buttenscheißer,Buddescheißer
Butter,Budder
Butter,Budern
Butterblume,Budderblümmli
Butterblumen,Budderblümmli
Buttermilch,Buddermilch
Butterschmalz,Budderschmoalz
Bäche,Bech
Bächlein,Bächle
Bächlein,Bächli
Bäcker,Beck
Bäcker,Bek
Bäckerin,Beckin
bähen,bewe
Bälle,Bel
Bälle,Bäll
Bänder,Bender
Bänke,Beng
Bänke,Benk
Bärendreck,Bä
Bärendreck,redrääg
Bärendreck,ä
Bärte,Bärt
Bäuch,Baych
Bäuchlein,Bäuchle
Bäume,Boam
Bäume,Böum
Bäumlein,Böumle
Böcke,Bö
Böcke,c
Böcke,k
Böcklein,Bögle
Böhnchen,Bönle
bös,bö
bös,böös
bös,s
bös,ö
böse,brouches
böse,bö
böse,bös
böse,böse
böse,bösi
böse,böös
Böse,Böös
böse,prouches
böse,s
böse,ö
Bösen,Bööse
Bübchen,Büwwle
Bübchen,Büüwele
Bübchen,Büüwle
Büchelberg,Büchelbärch
Büchelberg,Büschelberch
Bücher,Bycher
Bücherwurm,Bücherwöörm
Büchse,Bügse
Büffel,Byfl
Büffel,Büfl
Bürge,Börich
Bürger,Börcher
Bürger,Böricher
Bürger,Bürcher
Bürgerdank,Börcherdoonk
Bürgermeister,Burchemaster
Bürgermeister,r
Bürgerschaft,Börcherschaft
Bürgersteig,Drodwa
Bürschlein,Börschle
Bürste,Börschde
bürsten,börschte
bürstet,börschd
Bürzel,Bördsl
Büschel,Büschl
Büschemer Original,Hoasefroanz
Büschemer Spitzname,Astle
Büschemer Spitzname,Aule
Büschemer Spitzname,Bartl
Büschemer Spitzname,Bassele
Büschemer Spitzname,Döid
Büschemer Spitzname,Dölfer
Büschemer Spitzname,Dööner
Büschemer Spitzname,Echiidi
Büschemer Spitzname,Fiene
Büschemer Spitzname,Foons
Büschemer Spitzname,Fälde
Büschemer Spitzname,Gundel
Büschemer Spitzname,Hannjörch
Büschemer Spitzname,Hannle
Büschemer Spitzname,Hardle
Büschemer Spitzname,Huggel
Büschemer Spitzname,Ihde
Büschemer Spitzname,Itzich
Büschemer Spitzname,Juller
Büschemer Spitzname,Kättel
Büschemer Spitzname,Leele
Büschemer Spitzname,Leene
Büschemer Spitzname,Lej
Büschemer Spitzname,Lowwel
Büschemer Spitzname,Lui
Büschemer Spitzname,Luss
Büschemer Spitzname,Maalche
Büschemer Spitzname,Mennle
Büschemer Spitzname,Miele
Büschemer Spitzname,Ogger
Büschemer Spitzname,Phib
Büschemer Spitzname,Sanni
Büschemer Spitzname,Simmele
Büschemer Spitzname,Säbber
Büschemer Spitzname,Ullus
Büschemer Spitzname,Zille
Büschemer Spitzname,Ädderle
Büschemer Spitzname,Ütsch
büssen,büsse
büssen,daiche
büssen,daichte
Cent,Cent
Chaise,Schees
Christ,Grist
Christbaum,Grisdbam
Christen,Grisde
christlich,gristli
